     seq      time                                             scheduled_show                                  show                        episode                                       artist                                                                    track
110  110  11:45 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     Flo Rida                                                              Right Round
111  111  11:48 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     Tag Team                                                      Whoomp! There It Is
112  112  11:48 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                    Vengaboys                                         We Like To Party! (The Vengabus)
113  113  11:54 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                               Quad City DJ's                                             C'mon N' Ride It (The Train)
114  114  11:58 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                              LCD Soundsystem                                         Daft Punk Is Playing at My House
115  115  11:58 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                          Sia                                                            Cheap Thrills
116  116  11:58 AM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                          Jem                                                           Come On Closer
117  117  12:12 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                              Sampa the Great                                                               Final Form
118  118  12:16 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                 Calypso Rose                                                                  Abatina
119  119  12:19 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     J Balvin                               Mi Gente (feat. Beyoncé and Willy William)
120  120  12:23 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                      ROSALÍA                                                         CHICKEN TERIYAKI
121  121  12:25 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                            Justin Timberlake                                                                Damn Girl
122  122  12:30 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                  James Brown                                                                Super Bad
123  123  12:32 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        SAULT                                                     I Just Want to Dance
124  124  12:36 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                       ACRAZE                                              Do It To It (feat. Cherish)
125  125  12:38 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        Drake                                                                  Massive
126  126  12:40 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        Ciara                                            Get Up (feat. Chamillionaire)
127  127  12:46 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                   Breakwater                                                        Release the Beast
128  128  12:50 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                       Vaughan Mason and Crew                                                Bounce, Rock, Skate, Roll
129  129  12:54 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                    Daft Punk                                                                  Da Funk
130  130  12:54 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     MSTRKRFT                                                                 Bodywork
131  131   1:02 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                      Justice                                                       Waters of Nazareth
132  132   1:05 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                  Space Laces                                                                    Droid
133  133   1:08 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     DJ Swamp                                                       Worship The Robots
134  134   1:11 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                 Green Velvet                                          DEEPFAKE (feat. Mihalis Safras)
135  135   1:14 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                              DJ Donna Summer                                                            Such Language
136  136   1:19 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     DJ Snake                                       Turn Down for What (feat. Lil Jon)
137  137   1:19 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                   Katy Perry                                                               Dark Horse
138  138   1:25 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                  The Weekend                                                          Blinding Lights
139  139   1:30 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     Lykke Li                                                      Dance, Dance, Dance
140  140   1:34 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                  Purity Ring                                                                Ungirthed
141  141   1:36 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                             Carly Rae Jepsen                                                            Call Me Maybe
142  142   1:39 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                     CHVRCHES                                                      The Mother We Share
143  143   1:42 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                    Lady Gaga                                                        The Edge Of Glory
144  144   1:47 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                        Robyn                                                        Dancing on My Own
145  145   1:51 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                                       Prince                                                          Baby I'm a Star
146  146   1:58 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR  Big Stupid Dance Party Friday                       Dexys Midnight Runners                                                           Come On Eileen
147  147   2:02 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                    Sunsquabi                                                                    Grind
148  148   2:05 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                            The Blues Project                                                              Flute Thing
149  149   2:06 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                 Beastie Boys                                                            Ricky's Theme
150  150   2:10 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                       Karen O & Danger Mouse                                                             Super Breath
151  151   2:13 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33  Holy Ghost!, Nancy Whang & The Juan MacLean                                                     I Wanted to Tell Her
152  152   2:13 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                  LAVA LA RUE                                            Hi-Fidelity (feat. Biig Piig)
153  153   2:22 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                    Tinariwen                                                             Amoss Idjraw
154  154   2:26 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                  Los Bitchos                                                            Talkie Talkie
155  155   2:29 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                   PawPaw Rod                                                              Glass House
156  156   2:32 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                               The Herbaliser                           Mrs Chombee Takes the Plunge (DJ Food re-bake)
157  157   2:34 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                       SAMEKA                                                               First Song
158  158   2:34 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                                      Sunbörn                                                      Dancing in the Dusk
159  159   2:34 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33                 Maribou State & Holly Walker                                                                Otherside
160  160   2:51 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33             Teddy Roxpin, Smile High & Felty                                              the first new color in eons
161  161   2:53 PM                       THE GROOVE SCENARIO with Dan Hopkins                   THE GROOVE SCENARIO                            #33          The Disposable Heroes of Hiphoprisy                                       Television, the Drug of the Nation
