     seq      time                                             scheduled_show                 show                   episode                                            artist                                                                     track
142  142   2:44 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                    Fontaines D.C.                                                            Televised Mind
143  143   2:48 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                         Kraftwerk                                                             Radioactivity
144  144   2:48 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                               777                                                       Miracle (Orb Remix)
145  145   2:57 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                              Thievery Corporation                                                         Radio Retaliation
146  146   2:57 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                  Sharon Van Etten                                                                  Mistakes
147  147   3:04 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                     Maribou State                                                             Natural Fools
148  148   3:04 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                     Magdalena Bay                                                       Secrets (Your Fire)
149  149   3:13 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                        The Future Sound of London                                                               Architektur
150  150   3:17 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                             Geese                                                              I See Myself
151  151   3:17 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                  The Linda Lindas                                                            All in My Head
152  152   3:23 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                             Amyl and the Sniffers                                                               Tiny Bikini
153  153   3:25 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                         New Order                                                                    Regret
154  154   3:29 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                              DEVO                                                       Uncontrollable Urge
155  155   3:32 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                       Yo La Tengo                                                              Moby Octopad
156  156   3:32 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                          DJ Logic                              Captain in Command (feat. Masta Ace & M-TRI)
157  157   3:43 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                    Built to Spill                                                            Carry the Zero
158  158   3:43 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                   TV on the Radio                                                        Staring at the Sun
159  159   3:52 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                                      Gang of Four                                                     A Man with a Good Car
160  160   3:55 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #40                              Thievery Corporation                                             Heaven's Gonna Burn Your Eyes
161  161   4:00 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                     Pray For Rain                                                            Taxi To Heaven
162  162   4:05 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                         Samuel SC                                                                  Who Says
163  163   4:08 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                          Neutrals                                                               Leisureland
164  164   4:11 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                           Shellac                                                                      WSOD
165  165   4:13 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                      Canal Irreal                                                                  I Failed
166  166   4:18 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                        J. Robbins                                                                  Last War
167  167   4:21 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                              Noun                                                                  Consumed
168  168   4:25 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                             Hedge                                                               No Monsters
169  169   4:26 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                   Feeling Figures                                                           Reality Strikes
170  170   4:30 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                            Knowso                                                       Drink From The Lake
171  171   4:34 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                        Continuals                                                                 March 3rd
172  172   4:37 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                     Suburban Eyes                                                         Headlight Torches
173  173   4:41 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                      Miracle Debt                                                            35th & Abiding
174  174   4:43 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                     Beige Banquet                                                         Ornamental Hermit
175  175   4:47 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                        Lupo Citta                                                            White Bracelet
176  176   4:51 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                                                 E                                                                      Null
177  177   4:55 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #20                 Messthetics & James Brandon Lewis                                                             Three Sisters
178  178   5:04 PM                                                    WARBLER            UNCERTAIN                      #162                                            R.E.M.                                 Underneath The Bunker (Instrumental Loop)
179  179   5:07 PM                                                    WARBLER            UNCERTAIN                      #162                                       Iron Maiden                                                              Wasted Years
180  180   5:07 PM                                                    WARBLER            UNCERTAIN                      #162                                           Anthrax                                                                      Time
181  181   5:07 PM                                                    WARBLER            UNCERTAIN                      #162                                     Black Sabbath                                                    War Pigs / Luke's Wall
182  182   5:07 PM                                                    WARBLER            UNCERTAIN                      #162                                          Hawkwind                                                   Motorhead (Bonus Track)
183  183   5:29 PM                                                    WARBLER            UNCERTAIN                      #162                                            Slayer                                                             Raining Blood
184  184   5:33 PM                                                    WARBLER            UNCERTAIN                      #162                                     Living Colour                                                       Cult Of Personality
185  185   5:38 PM                                                    WARBLER            UNCERTAIN                      #162                                     Faith No More                                                         Falling To Pieces
186  186   5:38 PM                                                    WARBLER            UNCERTAIN                      #162                                          Megadeth                                                               Peace Sells
187  187   5:47 PM                                                    WARBLER            UNCERTAIN                      #162                               Suicidal Tendencies                                                         Institutionalized
188  188   5:50 PM                                                    WARBLER            UNCERTAIN                      #162                                       Soundgarden                                                                 Outshined
189  189   5:50 PM                                                    WARBLER            UNCERTAIN                      #162                                            Danzig                                                                    Mother
190  190   5:50 PM                                                    WARBLER            UNCERTAIN                      #162                                         Metallica                                                (Anesthesia)—Pulling Teeth
191  191   6:03 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                             KMFDM                                                        A Drug Against War
192  192   6:06 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                         Motorhead                                                             Ace of Spades
193  193   6:09 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                        Rob Zombie                                                                   Dragula
194  194   6:13 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                        Worshipper                                                            Black Corridor
195  195   6:17 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                  Mission Of Burma                                                  All World Cowboy Romance
196  196   6:20 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                               Stone Temple Pilots                                                                     Plush
197  197   6:20 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                           Orbital                                                                 The Saint
198  198   6:30 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #162                                        Underworld                                                                     Jumbo
