     seq      time                                             scheduled_show                 show                   episode                              artist                                                track
124  124   2:31 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                    The Juan MacLean                                   You Were a Runaway
125  125   2:49 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                   Les Rita Mitsouko                                         Marcia Baïla
126  126   2:49 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                                 777                                  Miracle (Orb Remix)
127  127   2:49 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                      Herbie Hancock                                             Fat Mama
128  128   3:05 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                           Biig Piig                                              Decimal
129  129   3:07 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30          Cimafunk & Monsieur Periné                                             Catalina
130  130   3:10 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                            Don West                                         Small Change
131  131   3:13 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                               54-40                               Where Did The Money Go
132  132   3:16 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                        Toubab Krewe                                             Hang Tan
133  133   3:16 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                            Kasabian                         You’re in Love With a Psycho
134  134   3:25 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                      Arctic Monkeys                                            Mardy Bum
135  135   3:28 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                                Puli                                      Captain & Steve
136  136   3:32 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                     The Temptations   Ball of Confusion (That's What the World Is Today)
137  137   3:36 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                  Los Angeles Azules                                Perdonarte ¿Para Qué?
138  138   3:40 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                  The Tragically Hip                               Inevitability Of Death
139  139   3:40 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                            Dirtwire                                             The Howl
140  140   3:46 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                        Gallowstreet                                        Spirited Away
141  141   3:50 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30               Tycho & Cautious Clay                                      Infinite Health
142  142   3:54 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                         Ginger Root                                Loretta (日本語 version)
143  143   3:54 PM                       THE GROOVE SCENARIO with Dan Hopkins  THE GROOVE SCENARIO                       #30                            Yard Act                                       100% Endurance
144  144   4:02 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                           Dj Mike F                               Intro bust/talkover #1
145  145   4:03 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                           Samuel SC                                             Who Says
146  146   4:06 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                           Fastbacks                                         Distant Past
147  147   4:08 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                       Hal Al Shedad                                             That One
148  148   4:08 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                               Stuck                                         Planet Money
149  149   4:17 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                             Neptune                                           Blue Glass
150  150   4:22 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                            Old City                                           Wilderness
151  151   4:26 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                          Union Ares                                           Hypothesis
152  152   4:29 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                                Oahk                                      Nebula Atlantic
153  153   4:34 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                         Poison Ruin                                            Attrition
154  154   4:39 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                 Happy Little Clouds                                                Lungs
155  155   4:42 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                           Dj Mike F                                          talkover #3
156  156   4:43 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                            Neo Boys                                      Obscure Emotion
157  157   4:46 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                              Aiholz                                            Peligroso
158  158   4:48 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                           Hellscape                                            The Grave
159  159   4:51 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                      Rabid Children                             Teenage Summertime Dream
160  160   4:54 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                      Visual Learner                                            Plattered
161  161   4:58 PM                  POLICYMAKER RADIO HOUR with Mike Fournier          POLICYMAKER                       #15                   Negative Approach                                              Nothing
162  162   5:00 PM                                                    WARBLER            UNCERTAIN                      #283                     LCD Soundsystem                                     You Wanted a Hit
163  163   5:00 PM                                                    WARBLER            UNCERTAIN                      #283                                INXS                                  Never Tear Us Apart
164  164   5:12 PM                                                    WARBLER            UNCERTAIN                      #283                They Might Be Giants                                   Exquisite Dead Guy
165  165   5:14 PM                                                    WARBLER            UNCERTAIN                      #283                           Me Phi Me                                             Revival!
166  166   5:14 PM                                                    WARBLER            UNCERTAIN                      #283                     Digable Planets                     Rebirth of Slick (Cool Like Dat)
167  167   5:24 PM                                                    WARBLER            UNCERTAIN                      #283                          Jan Hammer                                     Crockett's Theme
168  168   5:27 PM                                                    WARBLER            UNCERTAIN                      #283                            Morphine                                            All Wrong
169  169   5:31 PM                                                    WARBLER            UNCERTAIN                      #283                              Pixies                                      Trompe Le Monde
170  170   5:33 PM                                                    WARBLER            UNCERTAIN                      #283                              Fugazi                                         Waiting Room
171  171   5:36 PM                                                    WARBLER            UNCERTAIN                      #283                      The Undertones                                        Teenage Kicks
172  172   5:38 PM                                                    WARBLER            UNCERTAIN                      #283                           The Clash                                         I'm Not Down
173  173   5:41 PM                                                    WARBLER            UNCERTAIN                      #283                              R.E.M.                                           Fall On Me
174  174   5:44 PM                                                    WARBLER            UNCERTAIN                      #283                 My Bloody Valentine                                         Only Shallow
175  175   5:48 PM                                                    WARBLER            UNCERTAIN                      #283                     Mott the Hoople                                  All the Young Dudes
176  176   5:51 PM                                                    WARBLER            UNCERTAIN                      #283                             College                      A Real Hero (f. Electric Youth)
177  177   5:56 PM                                                    WARBLER            UNCERTAIN                      #283                          Wang Chung                              To Live and Die in L.A.
178  178   6:00 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                          La Caution            Thé à la menthe (The Lazer Dance Version)
179  179   6:03 PM                                      HÜUKX with Greg Wymer            UNCERTAIN                      #283                          Pretenders                               Back On The Chain Gang
