     seq      time                                             scheduled_show                                  show                   episode                                       artist                                                   track
85    85   1:34 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             Lavender Diamond                                           Like an Arrow
86    86   1:38 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                   Lou Barlow                                            Division Day
87    87   1:42 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Boss Hog                             I'm Not Like Everybody Else
88    88   1:45 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                     Le Tigre                                         My My Metrocard
89    89   1:48 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                              LCD Soundsystem                                                Movement
90    90   1:51 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                      Nirvana                                            Molly's Lips
91    91   1:53 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                             Dirty Projectors                                       Parking Structure
92    92   1:55 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                              Kyle MacLachlan                                           The Milky Way
93    93   1:57 PM                                   FROM THE ARCHIVE with TJ  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                           The Hidden Cameras                                         Death of a Tune
94    94   2:00 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS  BBC Philharmonic Orchestra plays Stravinsky                                        Greeting Prelude
95    95   2:01 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                  Frank Zappa                                           Cosmik Debris
96    96   2:02 PM                       THE GROOVE SCENARIO with Dan Hopkins  TWO HOUR MUSIC FUN RADIO FRIEND HOUR              2024 BANGERS                                 Brenton Wood                                       Oogum Boogum Song
