     seq                           show                                        episode                               artist                                                                track
187  187             PLAYING AT SHADOWS                                        (BREAK)                        Matthew Sweet                                                       Sick of Myself
188  188             PLAYING AT SHADOWS                                        (BREAK)                    The Divine Comedy                                                       Gin Soaked Boy
189  189             PLAYING AT SHADOWS                                        (BREAK)                     Inspiral Carpets                                                   Two Worlds Collide
190  190             PLAYING AT SHADOWS                                        (BREAK)                      Alice In Chains                                                          I Stay Away
191  191             PLAYING AT SHADOWS                                        (BREAK)                       Linda Ronstadt                                                 When Will I Be Loved
192  192             PLAYING AT SHADOWS                                        (BREAK)                       Sculpture Club                                                         Black Coffee
193  193             PLAYING AT SHADOWS                                        (BREAK)                      Kyle MacLachlan                                                        The Milky Way
194  194             PLAYING AT SHADOWS                                        (BREAK)                        The Easybeats                                                    Friday On My Mind
195  195             PLAYING AT SHADOWS                                        (BREAK)                       Mephiskapheles                                             The Bumble Bee Tuna Song
196  196             PLAYING AT SHADOWS                                        (BREAK)                         Leon Redbone                       Mr. Belvedere ("According To Our New Arrival")
197  197             PLAYING AT SHADOWS                                        (BREAK)                       Coyote Shivers                                                            Sugarhigh
198  198             PLAYING AT SHADOWS                                        (BREAK)                      Hindu Love Gods                                                      Raspberry Beret
199  199             PLAYING AT SHADOWS                                        (BREAK)                               Cranes                                                         Shining Road
200  200             PLAYING AT SHADOWS                                        (BREAK)                      Stephanie Mills                                     Bit By Bit (Theme From "Fletch")
201  201             PLAYING AT SHADOWS                                        (BREAK)                          Julian Cope                                                World Shut Your Mouth
202  202             PLAYING AT SHADOWS                                        (BREAK)                                Da Da                                                       Dizz Knee Land
203  203             PLAYING AT SHADOWS                                        (BREAK)                          Tenacious D                                                            Explosivo
204  204             PLAYING AT SHADOWS                                        (BREAK)                             Rockpile                                                      Teacher Teacher
205  205             PLAYING AT SHADOWS                                        (BREAK)                                Sloan                                                         Underwhelmed
206  206             PLAYING AT SHADOWS                                        (BREAK)                       Gnarls Barkley                                                                Crazy
207  207             PLAYING AT SHADOWS                                        (BREAK)                       Matthew Wilder                                                      Break My Stride
208  208             PLAYING AT SHADOWS                                        (BREAK)                             MC Chris                                                         Fett's Vette
209  209             PLAYING AT SHADOWS                                        (BREAK)                 Sultans of Ping F.C.                                                   Where's Me Jumper?
210  210             PLAYING AT SHADOWS                                        (BREAK)                 They Might Be Giants                                                  The End Of The Tour
211  211             PLAYING AT SHADOWS                                        (BREAK)                         Suzanne Vega                                                    Blood Makes Noise
212  212             PLAYING AT SHADOWS                                        (BREAK)                          Jesus Jones                                                              Blissed
213  213             PLAYING AT SHADOWS                                        (BREAK)                              The Orb                                       Little Fluffy Clouds (7" Edit)
214  214             PLAYING AT SHADOWS                                        (BREAK)   The Stone Roses & Justin Robertson                                   Waterfall (Justin Robertson's Mix)
215  215             PLAYING AT SHADOWS                                        (BREAK)                                  Low                                                                Words
216  216             PLAYING AT SHADOWS                                        (BREAK)                          Tommy James                             Crystal Blue Persuasion (Single Version)
217  217             PLAYING AT SHADOWS                                        (BREAK)                     The Flaming Lips                                              A Spoonful Weighs a Ton
218  218             PLAYING AT SHADOWS                                        (BREAK)                          The Beatles                                                             Sun King
219  219             PLAYING AT SHADOWS                                        (BREAK)                          The Zombies                                                   Time Of The Season
220  220             PLAYING AT SHADOWS                                        (BREAK)     King Gizzard & The Lizard Wizard                                                                Ice V
221  221             PLAYING AT SHADOWS                                        (BREAK)                             The Cure                                    Just Like Heaven (Dizzy Mix 1990)
222  222             PLAYING AT SHADOWS                                        (BREAK)                        Talking Heads                                                   Once In A Lifetime
223  223             PLAYING AT SHADOWS                                        (BREAK)                        Robert Palmer                                                      Johnny and Mary
224  224             PLAYING AT SHADOWS                                        (BREAK)                         Joy Division                                              Love Will Tear Us Apart
